msno,cutoff_time,label,days_to_churn,churn_date
+1gZIOUWoNTamOml4W87muAxOcXrFsY1fvLpnHYwIt0=,2016-08-01,0.0,,
+1gZIOUWoNTamOml4W87muAxOcXrFsY1fvLpnHYwIt0=,2016-09-01,0.0,,
+1gZIOUWoNTamOml4W87muAxOcXrFsY1fvLpnHYwIt0=,2016-10-01,0.0,,
+1gZIOUWoNTamOml4W87muAxOcXrFsY1fvLpnHYwIt0=,2016-11-01,0.0,,
+1gZIOUWoNTamOml4W87muAxOcXrFsY1fvLpnHYwIt0=,2016-12-01,0.0,,
+1gZIOUWoNTamOml4W87muAxOcXrFsY1fvLpnHYwIt0=,2017-01-01,0.0,,
+1gZIOUWoNTamOml4W87muAxOcXrFsY1fvLpnHYwIt0=,2017-02-01,,,
+1gZIOUWoNTamOml4W87muAxOcXrFsY1fvLpnHYwIt0=,2017-03-01,,,
+314+VUR+AnxgDy+g6fFVugtH+Px+IA1iF2Z6o90XCM=,2016-07-01,0.0,,
+314+VUR+AnxgDy+g6fFVugtH+Px+IA1iF2Z6o90XCM=,2016-08-01,0.0,,
+314+VUR+AnxgDy+g6fFVugtH+Px+IA1iF2Z6o90XCM=,2016-09-01,0.0,,
+314+VUR+AnxgDy+g6fFVugtH+Px+IA1iF2Z6o90XCM=,2016-10-01,0.0,,
+314+VUR+AnxgDy+g6fFVugtH+Px+IA1iF2Z6o90XCM=,2016-11-01,0.0,,
+314+VUR+AnxgDy+g6fFVugtH+Px+IA1iF2Z6o90XCM=,2016-12-01,0.0,,
+314+VUR+AnxgDy+g6fFVugtH+Px+IA1iF2Z6o90XCM=,2017-01-01,0.0,,
+314+VUR+AnxgDy+g6fFVugtH+Px+IA1iF2Z6o90XCM=,2017-02-01,,,
+314+VUR+AnxgDy+g6fFVugtH+Px+IA1iF2Z6o90XCM=,2017-03-01,,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2015-07-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2015-08-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2015-09-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2015-10-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2015-11-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2015-12-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-01-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-02-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-03-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-04-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-05-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-06-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-07-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-08-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-09-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-10-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-11-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2016-12-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2017-01-01,0.0,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2017-02-01,,,
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,2017-03-01,,,
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,2015-01-01,0.0,,
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,2015-02-01,0.0,,
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,2015-03-01,0.0,,
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,2015-04-01,0.0,,
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,2015-05-01,0.0,,
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,2015-06-01,0.0,,
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,2015-07-01,0.0,,
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,2015-08-01,0.0,,
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,2015-09-01,0.0,,
