msno,city,bd,gender,registered_via,registration_init_time
0PEKDAUJBQHi50gorLj5CPtaf+B5AJwO2GpZMMXCj0Y=,1,0,,7,20150818
4qmfqxYbl06wUrfEZKoBFSO+989acDnC23wZOOnf6Nw=,1,0,,7,20140503
B9BcLggRjFuNb2OnoCvTjl8KnA02Bm7pIPNlDEzQz1o=,22,21,female,3,20121105
CA+qejbWkQdiKZItTMHfnOf4Gz2lsuj8tIXqgCXqZmo=,1,0,,7,20170108
Dta442KneAVdGaohp5DxG4lkEE6mEFPhQMe5BkoT/vA=,1,0,,7,20150930
KKAuIiz0PfekBzJQXn1hCSzOGseyjuxZKZ4iTB7yxNA=,18,23,male,7,20141025
KYfAE25nOoFtOrCaJaqxXXd12ukmokYoPpfoqmRz204=,13,30,male,9,20070922
MBcdjUY3e2Fa3oC3eXpSnQOOC6PehG6m1/MR/yzCVuo=,1,0,,7,20140220
Nu51nplJJAChgiEG068kaaMDztvjcQCkaKHM1JAymd0=,1,0,,7,20151115
RX7XnB8PVClvCDmUSAqX9xPXsYzKT/l3UDAlxBzunic=,13,30,female,9,20060107
UWWvI4G0RxkpfzGh37ZQVqPOjuQcbFMeKcAr5cTUcf0=,13,36,female,9,20051231
Vk7coWA2ZgHy3WXHh5MkYa2yz/aZbPERZeY/Zo68VHo=,5,35,male,9,20110712
mz9apdOjUOeNXiHb4P8SK77cMPc5rdzaYpTrq14W2no=,1,0,,7,20151130
3ZoWUdgAuiR/Kqlb3z24EEMZOL3vE7uiT+sZDAKL3BQ=,14,0,,7,20131015
4g5lljYRmsv3hoUGgnHyyoAODb9pTqfqiIhAq19Hkyk=,14,29,female,9,20050613
GREdhEym3cC6qdse9anrOb6mvi9hzsRXF3UmUeNvaKc=,1,0,,7,20131005
HbLfqVFCdz//iXmpCd39LeregV1xhFqupmVDY6I2HSY=,1,0,,7,20131213
N/8OR2RSOB87+aTk8aQ/fUEuWQtZgboYbIrst2xolOo=,10,30,male,9,20070929
k0WDBLSjoyNfK2bdfdmmAwn/icPF30zd0Ew69baHXRA=,1,0,,7,20140114
zbC2ntKSm/vKEfZAYKNKsWvNAV504n9i7GutqkTsREk=,1,0,,7,20161218
ze2fqklQenFUMdwTMLvf71nIjqKmrSM6jN/h9iZcM1w=,1,0,,7,20160825
AeG+XyNh/TL3eN9xEw7AO7aGz60TJEP1VQjKC6hnbVc=,1,0,,7,20160713
DHozEYaI0pViqgL0ww/yvNhQbkq8ZAt/MtcQE5bUXNI=,1,0,,7,20140112
KNeO0dKmm+8CAL2L4tkDJots5ko4fbfG6vbFDCjz8RQ=,5,62,female,3,20140825
LGsmkeheOXh77e9ZbVRYeBQ4fCBLxjtCMZ6au4VqP70=,1,0,,7,20100516
N/5fV0eQ6QOBC/1cxw1GYqJVkFpxqmUXBJR4hYioszM=,14,49,female,9,20160817
XxWHG2u+f32ql/z0jlFOMyfGjLD74+EZJqAs1PHxekI=,1,0,,7,20140806
eQ7Q6DlYYWm1BQEGknNab6WEwZylre/penPpw0PUvFI=,1,0,,7,20130907
