msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,33,30,149,149,1,2016-12-31,2017-01-31,0
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,41,30,99,99,1,2016-02-26,2016-03-26,0
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,41,30,99,99,1,2016-11-26,2016-12-26,0
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,41,30,149,119,1,2015-05-17,2015-06-17,0
+6KodETinDioAsOrJjj1UH425xG3uM6N/bd49J15How=,41,30,99,99,1,2016-05-26,2016-06-26,0
+s3jJdEWKI0aVm/aTtJjbl1/6m9T+Fdshe1opAtZTy8=,41,30,149,149,1,2017-02-08,2017-03-08,0
+s3jJdEWKI0aVm/aTtJjbl1/6m9T+Fdshe1opAtZTy8=,41,30,149,149,1,2016-09-08,2016-10-08,0
/61sw91hwiQwLQ4oY8Ag2m0bdsr0HjnQfbuMultgd/U=,41,30,99,99,1,2015-10-24,2015-11-23,0
/OrkK+agRQCMhB2GK3KctomRLGCQuWxUqw9ml1eQNog=,39,30,149,149,1,2016-11-30,2017-01-25,0
/ULParmC7i19rBZSs12nWClCfg6S/t7luxW7fQMjhSQ=,41,30,99,99,1,2016-08-16,2016-09-16,0
/v0556fT6H7NdrdMtEuW2jsxPMOMRtlvlrj/X23x6Vo=,41,30,99,99,1,2016-02-13,2016-03-13,0
/v0556fT6H7NdrdMtEuW2jsxPMOMRtlvlrj/X23x6Vo=,41,30,99,99,1,2016-10-13,2016-11-13,0
00G8eO5jWn2qWkzz7y1nqUppQrh8W7k0ZqLqc+wvtHo=,38,30,149,149,0,2017-02-14,2017-03-16,0
05Hn9rNIh8IpAIaH0KJN9LU7vSkDWUyPx9WElYbb7fw=,38,30,149,149,0,2016-06-11,2016-07-11,0
0F6CUDwQHCMB25fpEqFsrnH9Oq8UoPDqKA0UFbzJTUI=,37,30,149,149,1,2016-12-13,2017-01-12,0
0L45NtQRBv4QP/xJxvupGR2vxLkE0jlbMmozufgY+7o=,41,30,149,149,1,2015-06-11,2015-07-12,0
0Q60ygykaIm+M9tt8pDff//XWCvCvfzqaLykxMy0cHc=,41,30,99,99,1,2016-08-22,2016-09-22,0
0Q60ygykaIm+M9tt8pDff//XWCvCvfzqaLykxMy0cHc=,41,30,99,99,1,2016-11-22,2016-12-22,0
0Y2WTAB1AZsKDHyAgC3jHco+8A4IC26n7YsarUSgzuM=,41,30,149,149,1,2015-05-16,2015-06-16,0
0Y2WTAB1AZsKDHyAgC3jHco+8A4IC26n7YsarUSgzuM=,41,30,99,99,1,2015-10-20,2015-11-20,0
0ZfEQZoOAd/HFDF+Q/WC+/l7dqcXoZ1Xq8bdhHZdhko=,18,30,149,149,1,2015-06-30,2015-07-31,0
0ZfEQZoOAd/HFDF+Q/WC+/l7dqcXoZ1Xq8bdhHZdhko=,18,30,149,149,1,2016-12-31,2017-01-31,0
0ZfEQZoOAd/HFDF+Q/WC+/l7dqcXoZ1Xq8bdhHZdhko=,18,30,149,149,1,2017-01-31,2017-02-28,0
0bBQAAjKePzCIiidqgUIJch51casWxOP6UJwfFKEsb0=,39,30,149,149,1,2015-07-31,2015-09-20,0
0bBQAAjKePzCIiidqgUIJch51casWxOP6UJwfFKEsb0=,39,30,149,149,1,2016-01-31,2016-03-20,0
0kt/mEM2LAZZv1Mp4d66L0ptpNUxToWYnZ8bzeeeyYo=,41,30,99,99,1,2016-09-07,2016-10-07,0
0kt/mEM2LAZZv1Mp4d66L0ptpNUxToWYnZ8bzeeeyYo=,41,30,99,99,1,2016-08-07,2016-09-07,0
0xS0eezjAD9hXV/cSPq2+aPOfYs1xkClW4RomHoBHkk=,40,30,149,149,1,2016-07-07,2016-08-06,0
0xS0eezjAD9hXV/cSPq2+aPOfYs1xkClW4RomHoBHkk=,40,30,149,149,1,2015-10-07,2015-11-06,0
1956+eQJbBscYgGz7zbVZffPcROgI26dA7JrAaCv/Kw=,38,30,149,149,0,2016-04-03,2016-05-03,0
1956+eQJbBscYgGz7zbVZffPcROgI26dA7JrAaCv/Kw=,38,30,149,149,0,2016-06-03,2016-07-03,0
1Ikiaf5k11nLSbT4IuoILToE84IntuR7s7asgHRFd10=,41,30,149,149,1,2016-12-01,2017-01-01,0
1Pod+7e4p7ZYr1b7qmXQtDa+ppPaKLcmbSlNPlgihz4=,41,30,149,149,1,2015-06-12,2015-07-12,0
1p4V9/WEUqCGuyfLlIxSyTUwembRfnyfb2fXFcHialM=,41,30,149,119,1,2015-03-13,2016-04-11,0
1uEpAR7FBq7Ng+ktlwpmqnDSAF7EFPjkDfGX6TNUfzU=,37,30,149,149,1,2016-06-07,2016-07-06,0
1xxlCgpyTc0eJ7bWOqjIQ45MyU1QBybc7ENY5+i4/Fw=,41,30,99,99,1,2016-09-10,2016-10-10,0
1xxlCgpyTc0eJ7bWOqjIQ45MyU1QBybc7ENY5+i4/Fw=,41,30,99,99,1,2017-02-10,2017-03-10,0
